English special bitter. Bryggd på Paternostergatan (sic). Sekventiell tid då arduinotiden inte fungerade, endast en temp sparad. Silar över doppvärmarna. Minimalt med bränt.
Densitet kokande: 10.70
Densitet sval (+3 l vatten): 10.60
Sist en liter extra vatten, inget värde
t,T1
0,56.19
1,57.81
2,59.13
3,60.25
4,61.19
5,62.0
6,62.69
7,63.38
8,64.06
9,64.62
10,65.19
11,65.69
12,66.06
13,66.31
14,66.62
15,66.81
16,67.0
17,67.19
18,67.31
19,67.5
20,67.62
21,67.75
22,67.87
23,68.0
24,68.12
25,68.25
26,68.37
27,68.5
28,68.62
29,68.75
30,68.81
31,68.87
32,68.94
33,69.0
34,69.06
35,69.12
36,69.19
37,69.19
38,69.25
39,69.31
40,69.31
41,69.31
42,69.31
43,69.25
44,69.25
45,69.19
46,69.19
47,69.12
48,69.12
49,69.06
50,69.06
51,69.06
52,69.12
53,69.19
54,69.25
55,69.31
56,69.25
57,68.94
58,69.0
59,69.0
60,69.06
61,69.06
62,69.12
63,69.12
64,69.19
65,69.19
66,69.19
67,69.25
68,69.25
69,69.25
70,69.25
71,69.31
72,69.31
73,69.31
74,69.31
75,69.31
76,69.31
77,69.31
78,69.31
79,69.31
80,69.31
81,69.37
82,69.31
83,69.37
84,69.31
85,69.37
86,69.37
87,69.37
88,69.37
89,69.37
90,69.37
91,69.37
92,69.37
93,69.37
94,69.37
95,69.37
96,69.37
97,69.37
98,69.37
99,69.37
100,69.37
101,69.37
102,69.37
103,69.37
104,69.37
105,69.37
106,69.37
107,69.37
108,69.37
109,69.37
110,69.37
111,69.37
112,69.37
113,69.37
114,69.37
115,69.37
116,69.37
117,69.37
118,69.37
119,69.37
120,69.37
121,69.37
122,69.37
123,69.37
124,69.37
125,69.31
126,69.31
127,69.31
128,69.31
129,69.31
130,69.31
131,69.31
132,69.31
133,69.31
134,69.31
135,69.31
136,69.31
137,69.31
138,69.31
139,69.31
140,69.31
141,69.31
142,69.31
143,69.31
144,69.31
145,69.31
146,69.31
147,69.31
148,69.31
149,69.31
150,69.31
151,69.31
152,69.31
153,69.31
154,69.31
155,69.31
156,69.31
157,69.31
158,69.31
159,69.31
160,69.31
161,69.31
162,69.31
163,69.31
164,69.31
165,69.31
166,69.31
